,0
1597,I
1598,I
1599,II
1600,"II,III"
1601,II
1609,I
1610,I
1614,II
1618,III
1620,I
1622,II
1624,II
1625,II
1630,II
1631,III
1639,III
1640,III
1642,II
1644,III
1645,I
1646,III
1649,I
1653,II
1654,II
1658,II
1662,"II,III"
1664,I
1668,II
1669,II
1673,II
1675,II
1677,I
1683,I
1686,II
1688,I
1689,II
1690,I
1693,III
1697,I
1702,II
1706,II
1710,I
1715,II
1716,III
1719,I
1721,II
1728,II
1730,III
1736,I
1737,I
1740,III
1747,I
1749,II
1751,II
1752,II
1758,I
1759,II
1768,III
1769,I
1771,II
1772,III
1773,I
1777,I
1780,III
1782,II
1786,I
1787,I
1790,II
1791,L
1792,I
1794,III
1795,II
1796,III
1799,II
1800,II
1805,III
1807,II
1808,II
1809,II
1810,I
1813,III
1814,II
1816,II
1817,I
1818,III
1821,III
1825,II
1828,III
1829,I
1830,II
1832,II
1834,I
1835,II
1836,II
1838,II
1844,III
1846,II
1849,II
1852,II
1855,III
1856,II
1857,II
1859,III
1860,III
1863,II
1866,II
1870,I
1871,I
1873,II
1876,I
1877,I
1883,III
1885,II
1886,III
1887,II
1888,II
1890,II
1892,II
1893,III
1900,II
1901,III
1904,III
1905,II
1906,II
1911,III
1915,II
1917,I
1918,II
1919,II
1920,II
1922,II
1924,III
1925,I
1927,II
1930,III
1934,I
1936,II
1938,II
1940,II
1941,III
1943,III
1944,II
1945,II
1948,II
1949,II
1953,II
1954,III
1956,I
1957,II
1961,III
1962,III
1963,III
1964,II
1965,II
1966,I
1970,III
1973,I
1974,II
1975,II
1977,III
1981,III
1982,I
1984,II
1985,I
1988,I
1989,II
1991,II
1993,I
1995,III
1996,I
1999,III
2000,III
2006,II
2008,I
2013,III
2014,I
2016,III
2017,II
2019,III
2020,I
2023,I
2024,I
2027,III
2029,II
2030,II
2032,"II,III"
2034,II
2035,III
2037,III
2042,I
2051,II
2052,III
2053,II
2056,II
2058,III
2060,II
2065,II
2068,II
2071,II
2073,II
2079,I
2081,III
2082,II
2086,I
2087,I
2089,III
2090,II
2091,III
2097,I
2106,II
2108,II
2110,I
2112,I
2113,I
2114,II
2116,III
2117,III
2119,II
2122,II
2123,I
2124,III
2125,I
2127,II
2129,II
2132,III
2133,I
2136,I
2140,III
2141,II
2143,I
2144,II
2145,I
2149,II
2150,III
2151,II
2153,II
2155,L
2157,III
2162,II
2164,III
2165,II
2166,I
2167,II
2168,III
2169,II
2170,III
2171,I
2173,I
2178,II
2180,III
2181,I
2182,III
2183,II
2184,I
2186,I
2188,II
2189,II
2190,III
2191,III
2195,III
2197,II
2201,II
2204,I
2205,III
2207,II
2208,II
2213,II
2216,II
2217,III
2218,I
2219,III
2220,III
2221,II
2222,II
2223,I
2224,II
2228,III
2229,I
2230,II
2231,III
2236,II
2237,II
2241,III
2244,I
2245,II
2247,III
2248,II
2254,I
2257,I
2258,I
2263,I
2264,II
2266,III
2268,III
2269,II
2270,I
2272,II
2273,II
2275,III
2276,II
2280,III
2282,III
2285,II
2288,II
2290,III
2291,II
2293,I
2296,II
2300,III
2303,III
2306,II
2307,II
2308,II
2311,II
2313,II
2314,III
2315,I
2317,II
2318,II
2319,"I,III"
2320,II
2322,II
2323,II
2325,I
2326,III
2328,I
2332,II
2334,II
2338,III
2339,II
2345,II
2346,II
2351,II
2353,II
2354,III
2356,III
2359,II
2360,III
2361,II
2363,II
2364,I
2365,III
2371,III
2372,II
2373,I
2374,III
2375,I
2377,II
2378,II
2382,III
2383,II
2384,II
2386,I
2388,II
2390,III
2392,I
2394,I
2395,I
2397,II
2401,III
2402,III
2406,II
2408,I
2410,"III,I"
2412,II
2413,III
2414,III
2415,II
2416,II
2417,III
2419,I
2420,II
2421,III
2422,I
2425,II
2428,II
2429,I
2433,III
2435,II
2436,III
2437,II
2438,III
2440,II
2441,II
2442,II
2443,I
2446,II
2447,III
2450,II
2458,II
2459,II
2460,I
2465,II
2467,III
2469,II
2473,III
2474,I
2475,II
2480,"III,I"
2481,II
2482,III
2488,II
2489,I
2492,III
2498,I
2500,L
2501,II
2504,III
2505,II
2506,II
2511,II
2512,III
2516,III
2519,I
2521,III
2523,II
2528,II
2531,I
2537,I
2538,I
2540,II
2541,III
2543,II
2549,II
2551,I
2552,II
2554,II
2555,II
2556,III
2558,II
2560,II
2561,III
2566,II
2568,I
2569,II
2571,II
2572,I
2574,II
2575,II
2577,II
2578,I
2586,II
2587,I
2588,III
2589,II
2591,III
2592,II
2594,II
2595,II
2596,II
2597,II
2599,II
2600,II
2602,II
2605,III
2607,II
2608,III
2609,II
2610,I
2617,I
2626,I
2632,I
2633,II
2636,II
2638,II
2639,I
2640,L
2643,III
2647,II
2648,II
2651,I
2653,II
2655,"III,II"
2658,III
2659,III
2661,III
2662,III
2666,I
2667,I
2671,III
2672,II
2674,II
2677,I
2680,III
2682,III
2688,III
2690,III
2692,II
2693,"II,I"
2696,II
2698,II
2701,II
2703,III
2704,III
2709,II
2711,III
2715,II
2717,I
2718,II
2719,II
2721,II
2722,III
2724,II
2725,III
2726,I
2729,I
2738,II
2739,II
2740,I
2742,III
2744,I
2745,I
2746,I
2747,II
2751,II
2752,III
2754,II
2755,II
2756,II
2757,III
2758,III
2760,I
2762,II
2763,III
2766,II
2769,II
2772,I
2773,I
2781,II
2782,I
2784,I
2785,III
2788,I
2790,III
2791,II
2797,II
2798,II
2799,II
2801,I
2803,II
2804,"II,III"
2806,II
2812,II
2813,II
2817,I
2818,I
2825,III
2826,II
2827,II
2830,III
2835,III
2838,II
2840,III
2841,II
2845,II
2846,II
2851,II
2855,III
2856,I
2857,III
2860,II
2863,III
2864,II
2865,III
2866,III
2870,III
2872,I
2873,I
2877,II
2879,III
2885,II
2888,II
2893,II
2895,II
2897,III
2898,II
2899,I
2900,III
2901,III
2904,I
2905,II
2908,II
2910,II
2911,II
2912,II
2918,I
2921,III
2922,II
2928,II
2929,III
2933,II
2937,"III,II"
2939,III
2941,III
2942,III
2943,II
2945,II
2946,I
2947,I
2950,III
2952,II
2955,III
2956,II
2961,II
2962,I
2963,I
2965,II
2967,I
2968,II
2969,II
2972,III
2974,I
2976,II
2978,II
2981,III
2982,I
2987,II
2988,I
2990,II
2991,II
2992,II
2994,III
2997,I
3001,II
3004,II
3005,II
3006,III
3007,I
3012,I
3014,II
3015,III
3017,II
3019,III
3020,L
3022,"II,III"
3025,I
3026,III
3033,III
3038,II
3039,II
3041,III
3044,II
3045,III
3046,II
3048,III
3050,II
3051,II
3052,II
3053,III
3054,II
3055,II
3056,II
3057,III
3058,II
3060,II
3065,I
3066,"II,III"
3068,I
3074,III
3077,II
3079,III
3080,II
3081,I
3086,III
3091,III
3093,"II,III"
3094,"III,II"
